year,type,sector,count
2013,Enrolled Nurses,Not in Active Practice,1334
2013,Registered Midwives,Public Sector,79
2013,Registered Midwives,Private Sector,61
2013,Registered Midwives,Not in Active Practice,106
2014,Registered Nurses,Public Sector,17667
2014,Registered Nurses,Private Sector,6863
2014,Registered Nurses,Not in Active Practice,4334
2014,Enrolled Nurses,Public Sector,5006
2014,Enrolled Nurses,Private Sector,2078
2014,Enrolled Nurses,Not in Active Practice,1444
2014,Registered Midwives,Public Sector,71
2014,Registered Midwives,Private Sector,61
2014,Registered Midwives,Not in Active Practice,94
2015,Registered Nurses,Public Sector,18566
2015,Registered Nurses,Private Sector,7356
2015,Registered Nurses,Not in Active Practice,3972
2015,Enrolled Nurses,Public Sector,5305
2015,Enrolled Nurses,Private Sector,2377
2015,Enrolled Nurses,Not in Active Practice,1249
2015,Registered Midwives,Public Sector,71
2015,Registered Midwives,Private Sector,51
2015,Registered Midwives,Not in Active Practice,58
2016,Registered Nurses,Public Sector,19618
2016,Registered Nurses,Private Sector,7616
2016,Registered Nurses,Not in Active Practice,4381
2016,Enrolled Nurses,Public Sector,5149
2016,Enrolled Nurses,Private Sector,2322
2016,Enrolled Nurses,Not in Active Practice,1310
2016,Registered Midwives,Public Sector,62
2016,Registered Midwives,Private Sector,47
2016,Registered Midwives,Not in Active Practice,56
2017,Registered Nurses,Public Sector,20313
2017,Registered Nurses,Private Sector,8002
2017,Registered Nurses,Not in Active Practice,4357
2017,Enrolled Nurses,Public Sector,5020
2017,Enrolled Nurses,Private Sector,2301
2017,Enrolled Nurses,Not in Active Practice,1310
2017,Registered Midwives,Public Sector,55
2017,Registered Midwives,Private Sector,41
2017,Registered Midwives,Not in Active Practice,41
2018,Registered Nurses,Public Sector,20734
2018,Registered Nurses,Private Sector,8441
2018,Registered Nurses,Not in Active Practice,4439
2018,Enrolled Nurses,Public Sector,4854
2018,Enrolled Nurses,Private Sector,2241
2018,Enrolled Nurses,Not in Active Practice,1299
2018,Registered Midwives,Public Sector,48
2018,Registered Midwives,Private Sector,29
2018,Registered Midwives,Not in Active Practice,40
2019,Registered Nurses,Public Sector,21373
2019,Registered Nurses,Private Sector,8943
2019,Registered Nurses,Not in Active Practice,4293
2019,Enrolled Nurses,Public Sector,4663
2019,Enrolled Nurses,Private Sector,2206
2019,Enrolled Nurses,Not in Active Practice,1190
2019,Registered Midwives,Public Sector,43
2019,Registered Midwives,Private Sector,31
2019,Registered Midwives,Not in Active Practice,35
2020,Registered Nurses,Public Sector,22483
2020,Registered Nurses,Private Sector,9291
2020,Registered Nurses,Not in Active Practice,2880
2020,Enrolled Nurses,Public Sector,4395
2020,Enrolled Nurses,Private Sector,2095
2020,Enrolled Nurses,Not in Active Practice,952
2020,Registered Midwives,Public Sector,36
2020,Registered Midwives,Private Sector,30
2020,Registered Midwives,Not in Active Practice,11
2021,Registered Nurses,Public Sector,23324
2021,Registered Nurses,Private Sector,9297
2021,Registered Nurses,Not in Active Practice,3327
2021,Enrolled Nurses,Public Sector,3984
2021,Enrolled Nurses,Private Sector,1975
2021,Enrolled Nurses,Not in Active Practice,1030
2021,Registered Midwives,Public Sector,31
2021,Registered Midwives,Private Sector,27
2021,Registered Midwives,Not in Active Practice,10
2022,Registered Nurses,Public Sector,23720
2022,Registered Nurses,Private Sector,9606
2022,Registered Nurses,Not in Active Practice,3669
2022,Enrolled Nurses,Public Sector,3767
2022,Enrolled Nurses,Private Sector,1857
2022,Enrolled Nurses,Not in Active Practice,1091
2022,Registered Midwives,Public Sector,25
2022,Registered Midwives,Private Sector,26
2022,Registered Midwives,Not in Active Practice,11
